104.18.33.245:443  62.86 ms  #JP-GHv4 01
104.18.33.247:443  72.65 ms  #JP-GHv4 02
104.18.33.253:443  73.58 ms  #JP-GHv4 03
104.18.33.189:443  75.65 ms  #JP-GHv4 04
104.18.33.242:443  83.03 ms  #JP-GHv4 05
104.18.33.217:443  83.28 ms  #JP-GHv4 06
104.18.33.188:443  84.51 ms  #JP-GHv4 07
104.18.33.251:443  88.84 ms  #JP-GHv4 08
104.18.33.190:443  91.95 ms  #JP-GHv4 09
104.18.33.208:443  93.11 ms  #JP-GHv4 10
104.18.33.180:443  93.73 ms  #JP-GHv4 11
104.18.33.240:443  93.86 ms  #JP-GHv4 12
104.18.33.249:443  95.61 ms  #JP-GHv4 13
104.18.33.235:443  98.27 ms  #JP-GHv4 14
104.18.33.244:443  98.37 ms  #JP-GHv4 15
104.18.33.191:443  98.68 ms  #JP-GHv4 16
104.18.33.234:443  100.39 ms  #JP-GHv4 17
104.18.33.140:443  100.72 ms  #JP-GHv4 18
104.18.33.232:443  101.92 ms  #JP-GHv4 19
104.18.33.241:443  102.29 ms  #JP-GHv4 20
